"Time Slice","0_vaccineret_vaccinationen_forældre_vaccinationer","1_livmoderhalskræft_måske_forebyggelse_gør","2_sundhedsstyrelsen_sundhedsstyrelsens_lægeforeningen_forældre","3_kræft_livmoderhalsen_kræften_halskræft","4_hpv_vaccine_vaccination_papillomavirus","5_bivirkninger_hovedpine_svimmelhed_sygdom","6_kvinder_kvinderne_ældre_årige","7_bekæmpelse_kræftens_kræftsygdom_kvinder","8_undersøgelse_undersøgelsen_undersøgt_livmoderhalsen","9_sygdommen_sygdom_sygdomme_årsagen","10_læger_lægerne_sygdomme_sundhedsvæsenet","11_vaccinen_godkendt_vaccinationsprogrammet_vacciner","12_også_årige_drenge_gør","13_vaccinerede_hpvvaccinen_vaccinerne_undersøgelsen","14_sundhedsminister_sundhedsministeren_sundhedsordfører_vaccinationsprogrammet","15_kønsvorter_analkræft_kønssygdomme_sygdomme","16_kræftformer_kræftsygdom_kræfttilfælde_brystkræft","17_børnevaccinationsprogrammet_børnevaccinationsprogram_vaccinerne_analkræft","18_læge_lægen_lægerne_sundhed","19_overlæge_sundhedsstyrelsens_overlægen_gynækologisk"
"2008 08 15 - 2009 05 08","vaccineret, kræftvaccine, årige, vaccinationen, spørgsmål, forældrene, kræftens, vaccinen, livmoderhalsen, mindst","livmoderhalskræft, forebygge","sundhedsstyrelsen, vaccinationsprogrammet, gynækologi, vaccineres, aldersgrænsen, vaccinationen, vaccinationstilbud, sundhedsvæsenet, børnevaccinationsprogram, sundhed","kræft, vaccinationer, årligt, sveriges, eller, liv, på, forskere, livmoderhalsen, tilbudt","hpv, gratis, vaccinationerne, papillomavirus, livmorhalskræft, hvis, vaccination, åbne, på, årligt","bivirkninger, sygdomme, lægemiddelstyrelsen, sygdom, børnevaccinationsprogram, vaccinationen, børnevaccine, årsag, alvorligt, alvorlige","kvinder, kvinderne, vaccination, konstateret, undersøgelser, kræftform, kræftformen, vaccineres, forebyggelse, opdateret","bekæmpelse, kræftens, vaccinationsprogrammet, kvindelige, foredrag, kvinder, fortælle, lokalformanden, vaccinationstilbud, vaccinationen","undersøgelsen, undersøgelse, undersøgelser, gynækologisk, gynækologiske, undersøgt, undersøge, livmoderhalskræfttilfælde, lægen, omskæring","sygdommen, dækker, kønssygdommen, forældre, sygdomsforløbet, sygdommens, sygdom, nobelprisen, desværre, forskel","læger, kvinderne, vaccination, vaccinationerne, papillomavirus, livmorhalskræft, vaccineres, åbne, gratis, dækker","vaccinen, gratis, på, vaccinationer, vaccinationsprogrammet, livmorhalskræft, tilbudt, sveriges, liv, årligt","også, årige, endetarmskræft, peniskræft, ambassadører, bøsser, endetarmsåbningen, mænd, sundhedspolitisk, budskabet","vaccinerede, livmoderhalskræftvaccinen, sundhedsstyrelsens, vaccinationsprogram, kræftformen, mindst, kræftvaccination, bekræfter, tilfælde, muligt","sundhedsminister, kræftpatienter, kræftplan, kræftområdet, tarmkræft, sundhedsministerens, pressemeddelelse, brystkræftscreening, sundhedsministeren, halskræft","kønsvorter, kønssygdomme, vaccinerne, gynækolog, peniskræft, køn, mænd, sygdomme, informeret, vaccinationsprogrammet","kræftformer, endetarmskræft, brystkræft, blærekræft, kræftform, seksuelt, sygdom, desværre, nyrekræft, vigtigt","børnevaccinationsprogrammet, kræftvaccine, børnevaccinationsprogram, gynækologiske, lægemiddelstyrelsen, undersøgelser, kvinderne, undersøge, sygehus, årige","læge, lægen, livmoderhalsen, vacciner, brystkræft, vaccinationen, lægerne, livmoderhalskræfttilfælde, tilbuddet, årgang","overlæge, gynækologisk, gynækologiske, sundhed, sundhedsvæsenet, årige, livmoderkræft, væskebaseret, æggestokkræft, seneste"
"2009 05 08 - 2010 01 29","vaccineret, gynækologi, vaccinationsprogram, gynækologer, årige, livmorhalskræft, obstetrik, kvinde, sundhedsudvalg, udbredelsen","livmoderhalskræft, årige, seksualvaner, dødsfald, ældre, forebyggelse, højt, desværre, europæiske, sundheden","sundhedsstyrelsen, sundhedsstyrelsens, sexsygdomme, kondomer, aldersgrænsen, sundhedsøkonomiske, årige, kønsorganerne, ubeskyttet, kvindesygdom","kræft, gynækologi, livmoderhalsen, hvis, kræften, kræftform, vidunderlivet, værste, dø, bekæmpelses","hpv, gynækologi, livmorhalskræft, obstetrik, vaccinationsprogram, gynækologer, beskyttelse, kvinde, vaccineres, sundhedsudvalg","bivirkninger, beskyttelse, udbredelsen, vaccinationsprogram, sundhedsudvalg, livmorhalskræft, vaccineres, dødsfald, behandlinger, vaccinationsprogrammet","kvinder, sundhedsudvalg, gynækologer, årige, obstetrik, kvinde, børnevaccinationsprogram, aldersgrænsen, vaccinationsprogram, kvinderne","kræftens, bekæmpelse, kvinderne, sundhed, vidunderlivet, vaccinationen, børnevaccinationsprogram, underskriftindsamling, højeste, kvindes","undersøgelse, undersøgelsen, kvindernes, celleforandringerne, gynækologen, celleforandringer, lægernes, livmoderhalsen, uvidenhed, lægerne","sygdommen, livmoderhalsen, billigere, besparelse, købe, sjælden, sikkert, sygeforsikringen, lungekræft, kønssygdomme","læger, lægerne, kræftvaccinen, sygeforsikringen, sundhed, uvidenhed, spørgeskemaundersøgelse, gynækologisk, gynækolog, kræftformer","vaccinen, hvis, kræftvaccine, vaccinationen, sygeforsikringen, besparelse, ulighed, billigere, vaccinationer, besparelser","også, vaccination, vaccinetilbud, sundhedsministeren, sundhedsordfører, ulighed, især, årige, drenge, lægen","spørgsmål, børnevaccinations, ambassadører, ambassadør, vaccinerede, vacciner, hedder, vidunderlivet, kræftsygdom, gør","sundhedsminister, gynækologi, sundhedsordfører, sundhedsministeren, gynækolog, kræftvaccinen, vaccinetilbud, gynækologer, sundhedsstyrelsens, vaccination","kønsvorter, sexsygdomme, sexsygdom, kondomer, ubeskyttet, klamydia, analkræft, kønsorganerne, børnevaccinationsprogram, seksuelt","kræftformer, kræfttilfælde, peniskræft, mænd, lungekræft, blærekræft, farlige, brystkræft, mændene, kræftfremkaldende","børnevaccinationsprogrammet, børnevaccinationsprogram, drenge, kræftvaccine, vaccinationsprogrammet, lægemiddelstyrelsen, køn, vaccinationen, sundhedsydelser, kræftsygdom","læge, lægen, livmoderhalsen, kræften, sundhed, sygdom, børnevaccinationsprogram, købe, sikkert, livmoderhalskræften","overlæge, sygehus, speciallæger, kræftpatienter, gynækologiske, speciallægepraksis, overlæger, overlægerne, indkaldelse, lægerne"
"2010 01 29 - 2010 10 22","vaccineret, vaccinationen, børnevaccinationsprogram, kræftvaccine, årige, lægemiddelstyrelsen, gynækologi, kræftdødsfald, forebyggelse, undersøgelsen","livmoderhalskræft, forskningsenhed, rigshospitalets, lungesygdom, rigshospitalet, infektionssygdomme, prismodtagere, barnløshed, hvis, sundhedsministeriet","sundhedsstyrelsen, sundhedsstyrelsens, når, årige, kønssygdom, klamydia, sexsygdomme, sexsygdom, sidste, sundhedsordfører","kræft, kvinden, opfordrer, derfor, desværre, opdage, undersøgt, kræftfremkaldende, undersøgelserne, vaccinationsprogram","hpv, vaccination, gratis, papillomavirus, celleforandringer, vaccinationsprogrammet, undersøgelsen, tilbud, tilfælde, procent","bivirkninger, modtaget, cancertilfælde, vaccinationerne, kræftvaccine, sygdom, årgang, vaccination, vaccinationsprogrammet, infektionsmedicinsk","kvinder, kvinderne, kvinden, desværre, undersøgt, opfordrer, kvinde, derfor, dødelighed, især","bekæmpelse, kræftens, indsamling, kræftforskning, kræftsygdom, kræftforskningen, bekæmpe, halskræft, vaccineprojektet, vaccinationsprogram","undersøgelse, kvinderne, undersøgelsen, undersøgt, undersøge, desværre, dødelighed, opdage, seksuelt, sundhed","sygdommen, undersøgt, desværre, dødelighed, opdage, undersøgelserne, kvinden, kvinderne, opfordrer, mindst","læger, lægerne, papillomavirus, lægemidler, forebyggelse, silkeborg, børnevaccinationsprogram, gynækologiske, lægemiddelstyrelsen, undersøgelsen","vaccinen, livmoderhalskræfttilfældene, vaccinationsprogram, kræftform, kræftsygdom, kræftsagen, kræfttilfældene, sundhedsmæssige, kvinder, årsagen","også, dødelighed, desværre, opdage, kvinderne, mindst, undersøgelserne, læserbrev, opfordrer, undersøgt","vaccinerede, derfor, dødelighed, kræftvaccine, bekæmpelse, undersøgelsen, højere, ballerup, videnskabeligt, forskerne","sundhedsminister, sundhedsordfører, kræftplan, endetarmskræft, kræftplanen, livmorhalskræft, kræftfremkaldende, kræftbehandling, kræftbehandlingen, kræftpatienter","kønsvorter, sexsygdomme, sygdomme, sexsygdom, seksuelt, klamydia, kønssygdomme, ubeskyttet, seksualundervisning, smittet","kræfttilfælde, kræftsygdom, kræftformer, kræftpatienter, kræftbehandling, kræften, kræftbehandlingen, brystkræft, kræftplan, sundhedsordfører","børnevaccinationsprogrammet, vaccinationsprogrammet, vaccinationerne, kræftvaccine, vaccinationer, vaccinationen, kræftvaccinen, kræfttilfældene, procent, højt","læge, vaccinationen, sidste, gratis, længere, ophører, lægen, vaccinationer, tilbud, livmoderhalsen","overlæge, årige, verdenssundhedsorganisationen, sygdom, leverkræft, forebygge, undgås, forhindre, kræfttilfælde, vaccinationerne"
"2010 10 22 - 2011 07 15","vaccineret, vaccinationen, årige, kræftvaccine, børnevaccinationsprogram, vaccinationer, gynækologi, vaccinen, højere, kræftkur","livmoderhalskræft, undersøger, børnevaccinationsprogram, desværre, kræftvirussen, kræften, kræftvirus, videnskabelig, kræftvacciner, kræftsygdomme","sundhedsstyrelsen, ældre, sundhedsministeriet, forældre, sundhedsordfører, kræftsygdom, højere, kræfttilfælde, fødselsdagsgave, gennemsnit","kræft, halskræft, kræftfremkaldende, kræfttilfælde, kræftformen, kræfttilfældene, livmoderhalsen, analkræft, skyldes, kræftplan","hpv, vaccinationen, vaccination, vaccine, tilbud, papillomavirus, medicinalselskabet, billigere, udbud, bliver","sygdomme, sygdom, sundhed, undersøgelser, øjnene, spørgsmål, bekymrer, symptomer, speciallæger, årsager","kvinder, kvinderne, kræftsygdom, kræftvaccine, årige, kræfttilfælde, ældre, tilbud, bekæmpelse, hpvvaccinen","bekæmpelse, kræftens, kræftvaccine, kræftsygdom, medicinalselskabet, udgifter, udbuddet, udbud, vælge, børnevaccinationsprogram","undersøgelse, undersøgelsen, undersøgelser, livmoderhalsen, undersøgt, celleforandringer, lægen, sygehus, gynækologiske, kontrolundersøgelser","sygdommen, analkræft, seksualliv, gynækologi, obstetrik, speciallæge, kræftform, tilfælde, vulvacancer, analsex","læger, forældrene, hvorfor, cancersygdom, kræftsygdomme, vaccinationsprogrammet, kræftdiagnose, sundhedsstyrelsens, sundhedsvæsenet, børnevaccinationsprogrammet","vaccinen, livmorhalskræft, kræftvaccine, tilbud, vaccinationsprogrammet, forebygge, sygdomsforløb, udvide, vaccine, virker","også, årige, vaccinationen, undersøgelsen, vaccination, måske, vælge, kræftsygdom, speciallæge, alligevel","vaccinerede, gynækologi, speciallæge, seksualliv, obstetrik, kræftvaccine, undersøgelsen, fejlagtigt, misforståelse, indført","sundhedsminister, sundhedsordfører, kræftvaccine, sundhedsministeren, aldersgrænsen, sundhedsministeriet, peniskræft, hævet, fjernet, kræfttilfælde","kønsvorter, vaccinationer, højere, pigebørn, forældre, børnevaccinationsprogram, analkræft, gennemsnit, papillomavirus, vacciner","kræftformer, brystkræft, forskere, livmorhalskræft, kræftforskeres, tarmkræft, højteknologifonden, kræftvaccine, modermærkekræft, prostatakræft","børnevaccinationsprogrammet, børnevaccinationsprogram, vaccinationen, forældrene, medicinalselskabet, analkræft, vaccinerne, udgifter, udbuddet, forældre","læge, sundhed, lægen, livmoderhalsen, speciallæger, sygdom, kvinderne, gør, kræftfremkaldende, dødsfald","overlæge, gynækologi, gynækologisk, obstetrik, speciallæge, seksualliv, undersøge, kræftvaccine, overlægen, foredrag"
"2011 07 15 - 2012 04 06","vaccineret, livmorhalskræft, vaccinerne, vaccinationen, tilbudt, vaccinerer, indsprøjtninger, indsprøjtning, fået, livmorkræft","livmoderhalskræft, endetarmskræft, livmoderhalsen, vaccination, livmoderkræft, vaccinationsprogrammet, donorsæd, forebyggelse, celleforandringer, hvornår","sundhedsstyrelsen, vaccinationsprogrammet, drenge, sundhedsvæsnet, drengevaccine, vaccinerne, dækningen, hvornår, endetarmskræft, drengene","kræft, endetarmskræft, vaccinerne, kræftform, livmoderhalsen, papillomavirus, seksualliv, kræftforskning, lægemiddelmyndigheder, livmoderkræft","hpv, vaccination, vaccine, seksuelt, papillomavirus, tilbudt, celleforandringer, sygehus, gynækologi, papilloma","bivirkninger, brystsmerter, hovedpine, årsager, hvorfor, sygdom, betændelse, hjerte, leverbetændelse, symptomer","kvinder, livmorhalskræft, ældre, kvinderne, kvinden, livmoderhalsen, årige, gratis, livmoderhals, kvindernes","bekæmpelse, kræftens, gratis, hpvvaccine, vaccination, vaccinationsgrad, ringkøbing, kræftsygdom, højeste, udvide","undersøgelsen, undersøgelse, gynækologisk, sundhed, undersøgelser, kvinderne, gynækolog, spørgsmål, undersøgt, kvindernes","sygdommen, sygdom, vaccinationen, indsprøjtninger, indsprøjtning, fået, sygdomme, tilbudt, vaccinationer, klamydia","læger, lægerne, lægen, kønssygdom, sygehus, kræftvaccine, vaccinationsprogram, peniskræft, undersøgt, prævention","vaccinen, vaccinationsprogrammet, drenge, drengene, sundhedsvæsnet, drengevaccine, gratis, dækningen, hvornår, måske","også, endetarmskræft, drenge, vaccine, hvorfor, forebyggelse, infektioner, cervarix, mandlerne, indføre","vaccinerede, vaccinationstilbud, kvinderne, kvindernes, ældre, sexlivet, sundhed, gynækologisk, undersøgelsen, lægemiddelstyrelsen","sundhedsminister, kræftvaccine, sundhedsstyrelsens, vaccinationsprogrammet, lægemiddelmyndigheder, vaccinerer, livmorkræft, vaccinerne, livmoderkræft, hpvrelateret","kønsvorter, cervarix, analkræft, sundhedsvæsen, livmoderhalsen, sygdomme, billigere, årige, beskyttelse, gardasil","kræftformer, brystkræft, prostatakræft, tyktarmskræft, lungekræft, kræfttilfælde, kræftsygdomme, kræftsygdom, kræftbehandling, spiserørskræft","børnevaccinationsprogram, børnevaccinationsprogrammet, peniskræft, sundhedsforsikring, kræftvaccine, halskræft, analkræft, hovedhalskræft, kræftforebyggende, sundhedsstyrelse","læge, hvornår, sundhedsvæsnet, drengene, dækningen, måske, drengevaccine, drenge, afdelingslægen, endetarmskræft","overlæge, kræftvirus, donorsæd, indeholder, prøve, sygehus, seksuelt, gynækologisk, farlig, hiv"
"2012 04 06 - 2012 12 28","vaccineret, vaccinationen, gratis, vaccination, lægers, vaccinationerne, vaccinationer, ældre, hpvvaccination, tilbud","livmoderhalskræft, desværre, vaccinere, mødre, når, videnskabelig, indgrebet, helbredsmæssige, især, afsløre","sundhedsstyrelsen, vaccinationerne, sundhedsstyrelsens, hospitalsindlæggelser, ældre, influenza, forkølelse, gennemsnit, sygdomstilfælde, vaccinerne","kræft, kræftpatienter, forskerne, kræftforskere, kræftsvulster, opdaget, opdage, forskerteam, opdagelse, gennembrud","hpv, gratis, vaccine, på, drenge, ikke, drengene, vaccinere, forskelsbehandling, hvis","bivirkninger, sygdomme, sygdom, vaccinationer, sygdomstilfælde, papillomavirus, sundhedsmæssige, undersøgt, medicinalfirmaet, indsprøjtning","kvinder, årige, kvinderne, hpvvaccination, sundhed, vaccinationerne, sexlivet, sygeplejerske, kvindernes, gynækologisk","bekæmpelse, kræftens, knække, kæmpe, indsamlingsshow, kræftform, tilbud, kræftforskning, pressemøde, undersøgelser","undersøgelsen, undersøgelse, undersøgelser, rygning, kronisk, sundhed, celleforandringer, sexlivet, cigaret, infektionen","sygdommen, sygdomme, sygdom, lægerne, kræftform, livmoderhalsen, dødsfald, knække, kæmpe, kønsdelene","læger, sygdomme, lægerne, indsprøjtninger, vaccinationer, forkert, bekendtgørelsen, udlandet, hvorfor, kvinderne","vaccinen, vaccinationsprogram, kræfttilfældene, kræfttyper, kræfttype, drenge, infektionerne, årsager, kræftsygdom, kræftvaccine","også, årige, vaccinerne, gynækolog, børnevaccinationsprogram, gør, kilde, lægerne, voksne, når","vaccinerede, vaccinationen, vaccinationstilbud, lægers, kvindernes, sundhed, sexlivet, gynækologisk, vaccinationer, sundhedsvæsenets","sundhedsminister, livmorhalskræft, hvorfor, sundhedsordfører, lægeforeningen, forkert, vaccinationsdeltagelse, bekæmpelse, sundhedsministeren, fået","kønsvorter, gratis, forskelsbehandlingen, piger, og, betale, ikke, drengene, forskelsbehandling, kønsvorterne","kræftformer, kræfttilfælde, kræften, kræftsygdom, kræftbehandling, infektioner, kræftforskning, kræftsagen, årsager, kræftpatienter","børnevaccinationsprogrammet, børnevaccinationsprogram, lægen, årige, lægemiddelmyndigheder, vaccinerne, hpvvaccinen, vaccinationsdeltagelse, vaccinationsprogrammer, kønssygdommen","læge, lægen, kræftvaccine, kræftsygdom, vaccination, gør, bekæmpelse, vacciner, lægerne, gratis","overlæge, gynækologisk, foredrag, foredraget, fortæller, vaccinationer, spørgsmål, overlægen, sygehus, speciallæge"
"2012 12 28 - 2013 09 20","vaccineret, vaccinationen, sidste, bivirkning, hvis, vaccinationsprogram, vaccinen, vaccinerer, vaccinere, blevet","livmoderhalskræft, fået, kvinde, spørgsmål, sundhedsordfører, år, dødsfald, første, vacciner, hpvvaccination","sundhedsstyrelsen, sundhedsstyrelsens, vaccinationsforum, sundhedsorganisationer, vaccinationsskeptiske, hvoraf, vaccineproducenter, kønsdiskrimination, sundhedsmyndighederne, hpvvaccinen","kræft, halskræft, kræften, livmoderhalsen, drenge, sundhedsudvalg, virussen, seksuelt, tilbudt, kræftsygdommen","hpv, vaccine, gratis, vaccination, bliver, papillomavirus, drenge, vaccineres, tilfælde, kvinde","bivirkninger, sygdom, frygten, dø, vaccine2, frygter, sjældne, hvoraf, symptomer, vaccinationsforum","kvinder, sidste, kvinderne, vaccinationen, ældre, årige, på, vaccinationer, udløber, producenterne","bekæmpelse, kræftens, vaccine, kvinde, frygten, dø, vaccine2, frygter, kvinder, indført","undersøgelse, undersøgelsen, bliver, beskytter, undgå, kønsvorter2, vaccineregistret, indført, celleforandringer, livmorhalskræft","sygdommen, sygdom, diagnosticeret, sygdomme, kræften, halskræft, kræftsygdommen, mundsex, aldersgrænse, hæves","læger, overlæger, politiken, dobbeltrollerne, overlægerne, lægerne, lægernes, sundhedsmyndigheder, sundhedsudvalg, eksperter","vaccinen, vaccineres, vacciner, efterspørgsel, virker, det, tilbudt, efter, peniscancer, hvornår","også, ifølge, drenge, politiken, overlæger, ældre, hjælpe, gør, producenterne, virussen","vaccinerede, underskriftindsamling, vaccineregistret, kønssygdomme, indført, patientforsikringen, sundhedsfaglige, underskriftindsamlingen, celleforandringer, dødsfald","sundhedsminister, sundhedsministeren, køn, vaccinerer, sundhedsudvalg, kræftbehandling, lægemiddelmyndigheder, lægefaglige, kønssygdomme, aldersgrænsen","kønsvorter, kønssygdomme, lægefaglige, indført, vaccinationsprogrammet, køn, kræftbehandling, sundhedsudvalg, smittet, livmorhalskræft","kræftformer, kræfttilfælde, brystkræft, kræftsygdomme, underskriftindsamling, kræftdiagnose, modermærkekræft, kræftcelle, kræftsygdommene, uvidenhed","børnevaccinationsprogrammet, vaccinationer, godkendt, nej, lægemiddelmyndigheder, hvorfor, børnevaccinationsprogram, drengene, drenge, sundhedsministeren","læge, lægen, gratis, lægerne, kvinde, sidste, hvis, sikkert, sundhed, vaccinationer","overlæge, vaccine, overlæger, lægen, hvis, kønsdiskrimination, 8næsten, årgangen, politiken, født"
"2013 09 20 - 2014 06 13","vaccineret, lægerne, vaccinationen, vaccinationsprogrammet, brystkræft, sygesikringskort, kræftbehandling, vaccinationsdeltagelse, kræftbehandlinger, vaccinationstilbud","livmoderhalskræft, sygdomsbehandling, hivvirus, modstandsstoffer, medfødt, stamceller, genetiske, immunsystem, ændret, nobelprisen","sundhedsstyrelsen, ældre, sundhedsstyrelsens, overlæger, kvinders, sundhedsministeren, medicinalindustrien, kræftundersøgelse, sundhedsvæsenet, undersøgelser","kræft, gynækologisk, kræftpatienter, livmoderhalsen, kræftforskning, kræften, kræftramte, bekæmpelse, forskning, hudkræft","hpv, papillomavirus, hjemmetest, screeningstilbud, mænd, tilfælde, undersøger, seneste, hvidovre, nydiagnosticerede","bivirkninger, indberetninger, hovedpine, indberetningerne, lægemiddel, indberetning, sundhedsudvalg, bivirkningerne, vaccinationsprogrammet, sygdomme","kvinder, kvinderne, ældre, undersøgt, livmoderhalsen, højest, politiken, screeningsprogrammet, spørgsmålet, nyheder","bekæmpelse, kræftens, højeste, vaccinationsdeltagelse, vaccinationstilbud, midtjylland, opgørelse, hvorfor, kræftpatienter, livmoderhalskræftaf","undersøgelse, undersøgelsen, undersøgt, kræfttilfælde, gynækologisk, hjemmetest, hjemmetesten, kræftsygdommen, lægen, nydiagnosticerede","sygdommen, sygdom, brystkræft, sygesikringskort, kræftbehandling, ældre, overlæger, kvinders, kræftundersøgelse, manglende","læger, lægerne, ældre, overlæger, kvinders, sundhedsområdet, lægernes, undersøgelser, kræftundersøgelse, lægehjælp","vaccinen, lægemidler, forebyggelse, vaccination, sygesikringskort, kræftbehandling, sidste, kræftbehandlinger, bekæmpelsei, høj","også, gør, spørgsmål, forskere, forskerne, prismodtagere, udgifterne, nobelpris, vinder, afgørende","vaccinerede, papillomavirus, undersøgelsen, hpvvaccinen, videnskabelige, årsag, vaccinationer, virker, undersøgt, nyheder","sundhedsminister, sundhedsordfører, sundhedsudvalg, fordele, sundhedsministeren, vaccinationen, vaccinationsprogrammet, sundhedsudvalget, vaccinerne, hpvvaccinen","kønsvorter, hvorfor, vaccinationsdeltagelse, vaccinationstilbud, midtjylland, opgørelse, højeste, kræftsygdomme, kondomer, livmoderhalskræftaf","kræftsygdom, kræftformer, kræften, kræftramte, kræftform, informationsmøde, brystkræft, kræftpatienter, brystkræftsagen, kræftsagen","børnevaccinationsprogrammet, børnevaccinationsprogram, vaccinerne, sundhedsstyrelsens, sundhed, børn, cervixcancer, livmoderhalsen, sygdomme, vaccinationen","læge, lægen, lægernes, lægeforeningen, lægers, lægehjælp, sundhedsvæsen, sygesikringen, lægehus, lægehuse","overlæge, nydiagnosticerede, screeningstilbud, hjemmetest, kræfttilfælde, hjemmetesten, gynækologisk, undersøgt, overlæger, overlægen"
"2014 06 13 - 2015 03 06","vaccineret, godkendt, pressemeddelelse, sundhedsmyndigheder, kræftformen, undersøgt, hvornår, længere, hovedårsagerne, cancer","livmoderhalskræft, lægemidler, tilfælde, hvad, vaccineprogram, stadig, livmoderhalsen, lægemiddelmyndigheder, ændrer, kosttilskud","sundhedsstyrelsen, sundhedsstyrelsens, verdenssundhedsorganisationen, lægemiddelagentur, undersøgelser, kræftsygdom, hpvvaccinen, træthedssyndromet, ændrer, vaccineprogram","kræft, mandlerne, danskere, kræftfremkaldende, tilfælde, længere, kræftforskning, celleforandringer, konstateret, kræftformen","hpv, mandlerne, mænd, kræftform, skyldes, vaccine, papillomavirus, højere, danskere, undersøgelse","bivirkninger, sygdom, lægemiddelagentur, svimmelhed, hovedpine, lægerne, træthed, migræne, synkebesvær, hjertebanken","kvinder, kvinderne, godkendt, celleforandringer, kræftsygdom, gynækologiske, sundhedsforsikring, undersøger, landsdækkende, verdenssundhedsorganisationen","bekæmpelse, kræftens, sundhedsmyndigheder, godkendt, vaccine, vaccinere, pressemeddelelse, hvornår, undersøgelse, europæiske","undersøgelse, undersøgt, undersøgelsen, sundhedsmyndigheder, undersøgelser, pressemeddelelse, vaccinere, hvornår, selvtest, celleprøver","sygdommen, sygdom, sygdomme, kræftfremkaldende, symptomer, sundhed, betændelse, hovedpine, højere, hpvvaccinen","læger, ændret, lægevidenskabelige, hvis, lægerne, medicinalindustrien, styrelsen, fortsat, vaccinationsprogram, mindst","vaccinen, godkendt, vaccinere, pressemeddelelse, hvornår, vaccinerer, undersøgt, sundhedsmyndigheder, medicinalvirksomheder, nyheder","også, forårsaget, bedste, alligevel, forebyggelse, sundhedsstyrelsens, gør, ifølge, blevet, træthed","vaccinerede, sundhedssystemet, hpvvaccinen, ikkevaccinerede, forældre, kræftfremkaldende, forældrene, hjernebetændelse, brystsmerter, undersøgelser","sundhedsminister, lægefagligt, sundhedsministeren, kønssygdomme, gynækologi, køn, gynækologer, sundhedsministeriet, speciallæger, sundhedsordfører","kønsvorter, kønssygdomme, celleforandringer, færre, vaccinationer, sygdom, sundhedsforsikring, behandlet, klamydia, kønsdelene","kræftformer, kræftsygdomme, lungekræft, tarmkræft, kræftsygdom, modermærkekræft, brystkræft, kræfttilfælde, prostatakræft, kræftbehandlingen","børnevaccinationsprogrammet, lægemiddelmyndigheder, ændret, lægemiddelagentur, sundhedsmyndighederne, vaccinerne, vaccinationsprogram, sundhed, vaccinationer, mindst","læge, lægen, lægerne, gør, helbred, sundhed, bivirkningsramte, sygdom, sygemeldt, fordele","overlæge, overlægen, kræftform, lægen, sygdomme, højere, arvelig, medicinalvirksomheder, nyheder, mænd"
"2015 03 06 - 2015 11 28","vaccineret, usikkerhed, bivirkninger, vaccinationen, vaccinationsprogram, lægemiddelagentur, lægemiddelagenturs, undersøgelsen, forældre, vaccinen","livmoderhalskræft, sundhed, sidste, sundheden, træt, meget, sådan, så, sprængfarlig, bliver","sundhedsstyrelsen, pressemeddelelse, indberetninger, sundhedsstyrelsens, lægemiddelagentur, sundhedsordfører, vaccinerne, sundhedsmyndigheder, undersøgt, hpvvaccinen","kræft, analkræft, kræftform, ligebehandlingsnævnet, forskelsbehandling, sundhedsfaglig, afgørelsen, livmoderhalsen, hpvvaccinen, køn","hpv, syge, vaccine, hvoraf, hjælp, pressemeddelelse, sygdom, vacciner, koncentrationsbesvær, bivirkningsramt","bivirkninger, hovedpine, svimmelhed, træthed, vaccinen, indberetninger, sundhedsudvalget, sygdom, symptomer, sygehuse","kvinder, måske, årsagen, kvinderne, forebyggelse, gør, lægen, celleforandringer, længere, vaccinerne","bekæmpelse, kræftens, medicinalindustrien, medicinalvirksomhed, lægevidenskabelige, seniorforsker, hjemmeside, bekæmpelses, overhovedet, åbenhed","undersøgelsen, undersøgelse, undersøgt, europæiske, sundheds, kræftsygdomme, lægemiddelagenturs, vaccinationsprogram, lægemiddelagentur, bivirkningskomitéen","sygdommen, svimmelhed, sygdom, årsagen, sygdomme, sundhed, måske, lægerne, kræftsygdom, halskræft","læger, undersøgelser, lægerne, sundhedsudvalget, sygdomme, ministeren, myndighederne, syge, forfærdeligt, bivirkningerne","vaccinen, vaccinationer, bliver, vaccinationsprogrammet, sundhedsordfører, gør, virker, vaccinationsprogram, sammenhæng, vaccineskader","også, europæiske, gør, symptomer, mistænkt, lægemiddelagentur, nyheder, årsag, sundhedsordfører, desværre","vaccinerede, vaccinationen, hpvvaccinen, vaccinerne, børnevaccinationsprogram, tilfælde, særafdelinger, sygdom, symptomerne, hpvvaccine","sundhedsminister, sundhedsministeren, undersøgt, hovedpine, sundhedsmyndighederne, ministeren, sundhedsudvalget, svimmelhed, undersøgelser, vaccinationer","kønsvorter, cervarix, sygdomme, omstridt, udskiftet, usikkerhed, bivirkningerne, kræftvaccine, desværre, vaccinationer","kræftformer, kræftsygdom, kræfttilfælde, brystkræft, kræften, æggestokkræft, kræftforskningen, kræftpatienter, kræftforsker, børnevaccinationsprogram","børnevaccinationsprogrammet, indberetninger, opgørelser, kræftform, afgørelsen, ligebehandlingsnævnet, analkræft, forskelsbehandling, sundhedsfaglig, indberetningerne","læge, lægen, lægerne, sundhedsstyrelsens, sundhedsvæsenet, sygdom, sundhed, gynækolog, videnskabelige, vaccinationsprogram","overlæge, undersøgt, spørgsmål, forhåndsafvist, afvist, afvisningerne, baggrund, alligevel, forfærdeligt, lægehjælp"
